id,coreid,name,description,type,subtype,level,nextlevel,count,item,itemhowmany,paneltype,islast
A1232,A1005,achievement/1000,몬스터처치,killmonster,forever,118,A1233,150000,999,7000,forever,0
A1233,A1005,achievement/1000,몬스터처치,killmonster,forever,119,A1234,150000,999,7000,forever,0
A1234,A1005,achievement/1000,몬스터처치,killmonster,forever,120,A1235,150000,999,7000,forever,0
A1235,A1005,achievement/1000,몬스터처치,killmonster,forever,121,A1236,150000,999,7000,forever,0
A1236,A1005,achievement/1000,몬스터처치,killmonster,forever,122,A1237,150000,999,7000,forever,0
A1237,A1005,achievement/1000,몬스터처치,killmonster,forever,123,A1238,150000,999,7000,forever,0
A1238,A1005,achievement/1000,몬스터처치,killmonster,forever,124,A1239,150000,999,7000,forever,0
A1239,A1005,achievement/1000,몬스터처치,killmonster,forever,125,A1240,150000,999,7000,forever,0
A1240,A1005,achievement/1000,몬스터처치,killmonster,forever,126,A1241,150000,999,7000,forever,0
A1241,A1005,achievement/1000,몬스터처치,killmonster,forever,127,A1242,150000,999,7000,forever,0
A1242,A1005,achievement/1000,몬스터처치,killmonster,forever,128,A1243,150000,999,7000,forever,0
A1243,A1005,achievement/1000,몬스터처치,killmonster,forever,129,A1244,150000,999,7000,forever,0
A1244,A1005,achievement/1000,몬스터처치,killmonster,forever,130,A1245,150000,999,7000,forever,0
A1245,A1005,achievement/1000,몬스터처치,killmonster,forever,131,A1246,150000,999,7000,forever,0
A1246,A1005,achievement/1000,몬스터처치,killmonster,forever,132,A1247,150000,999,7000,forever,0
A1247,A1005,achievement/1000,몬스터처치,killmonster,forever,133,A1248,150000,999,7000,forever,0
A1248,A1005,achievement/1000,몬스터처치,killmonster,forever,134,A1249,150000,999,7000,forever,0
A1249,A1005,achievement/1000,몬스터처치,killmonster,forever,135,A1250,150000,999,7000,forever,0
A1250,A1005,achievement/1000,몬스터처치,killmonster,forever,136,A1251,150000,999,7000,forever,0
A1251,A1005,achievement/1000,몬스터처치,killmonster,forever,137,A1252,150000,999,7000,forever,0
A1252,A1005,achievement/1000,몬스터처치,killmonster,forever,138,A1253,150000,999,7000,forever,0
A1253,A1005,achievement/1000,몬스터처치,killmonster,forever,139,A1254,150000,999,7000,forever,0
A1254,A1005,achievement/1000,몬스터처치,killmonster,forever,140,A1255,150000,999,7000,forever,0
A1255,A1005,achievement/1000,몬스터처치,killmonster,forever,141,A1256,150000,999,7000,forever,0
A1256,A1005,achievement/1000,몬스터처치,killmonster,forever,142,A1257,150000,999,7000,forever,0
A1257,A1005,achievement/1000,몬스터처치,killmonster,forever,143,A1258,150000,999,7000,forever,0
A1258,A1005,achievement/1000,몬스터처치,killmonster,forever,144,A1259,150000,999,7000,forever,0
A1259,A1005,achievement/1000,몬스터처치,killmonster,forever,145,A1260,150000,999,7000,forever,32
A1260,A1005,achievement/1000,몬스터처치,killmonster,forever,146,0,150000,999,7000,forever,1
S1000,S1000,achievement/S1000,몬스터처치,killmonster,daily,0,0,2000,998,600,daily,0
S1001,S1001,achievement/S1001,던전 격파,dungeonclear,daily,0,0,5,998,600,daily,0
S1002,S1002,achievement/S1002,아이템 제작,crafting,daily,0,0,3,998,600,daily,0
S1003,S1003,achievement/S1003,보스 처치,bosskill,daily,0,0,20,998,600,daily,0
S1004,S1004,achievement/S1004,사냥터 클리어,StageClear,daily,0,0,20,998,600,daily,0
S1005,S1005,achievement/S1005,레이드 격파,raidclear,daily,0,0,1,998,600,daily,0
S1006,S1006,achievement/S1006,성물 격파,altarwar,daily,0,0,1,998,600,daily,0
S1007,S1007,achievement/S1007,길드레이드,guildraid,daily,0,0,1,998,600,daily,0
S1008,S1008,achievement/S1008,대마법사의묘,contentskill,daily,0,0,1,998,600,daily,0
