description,Tier,id,num,itemid,itemnames,minhowmany,maxhowmany,rate,isshow,Ispercent,,,,,,,
보스,악몽,1111,695,1000,,80000,120000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1111,696,1002,,14550,14550,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1111,697,14,,81,170,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1111,698,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1111,699,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1111,700,517,,1,1,3000,TRUE,FALSE,,,,,,,
마티노 앞 바다,악몽,1112,701,1000,,82000,122000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1112,702,1002,,15000,15000,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1112,703,14,,82,172,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1112,704,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1112,705,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1113,706,1000,,82000,122000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1113,707,1002,,15000,15000,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1113,708,14,,82,172,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1113,709,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1113,710,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1113,711,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'나가 랜드,악몽,1114,712,1000,,84000,124000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1114,713,1002,,15450,15450,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1114,714,14,,83,174,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1114,715,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1114,716,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1115,717,1000,,84000,124000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1115,718,1002,,15450,15450,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1115,719,14,,83,174,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1115,720,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1115,721,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1115,722,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'코볼트 주둔지,악몽,1116,723,1000,,86000,126000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1116,724,1002,,15900,15900,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1116,725,14,,84,176,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1116,726,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1116,727,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1117,728,1000,,86000,126000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1117,729,1002,,15900,15900,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1117,730,14,,84,176,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1117,731,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1117,732,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1117,733,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'음산한 마을,악몽,1118,734,1000,,88000,128000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1118,735,1002,,16350,16350,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1118,736,14,,85,178,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1118,737,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1118,738,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1119,739,1000,,88000,128000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1119,740,1002,,16350,16350,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1119,741,14,,85,178,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1119,742,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1119,743,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1119,744,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'아인 약탈지,악몽,1120,745,1000,,90000,130000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1120,746,1002,,16800,16800,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1120,747,14,,86,180,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1120,748,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1120,749,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1121,750,1000,,90000,130000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1121,751,1002,,16800,16800,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1121,752,14,,86,180,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1121,753,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1121,754,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1121,755,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'카지노,악몽,1122,756,1000,,92000,132000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1122,757,1002,,17250,17250,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1122,758,14,,87,182,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1122,759,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1122,760,16,,2,3,20000,TRUE,FALSE,,,,,,,
보스,악몽,1123,761,1000,,92000,132000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1123,762,1002,,17250,17250,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1123,763,14,,87,182,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1123,764,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1123,765,16,,2,3,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1123,766,517,,1,1,3000,TRUE,FALSE,,,,,,,
진'버려진 숲,악몽,1124,767,1000,,94000,134000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1124,768,1002,,17700,17700,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1124,769,14,,88,184,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1124,770,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1124,771,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1125,772,1000,,94000,134000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1125,773,1002,,17700,17700,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1125,774,14,,88,184,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1125,775,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1125,776,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1125,777,517,,1,1,3000,TRUE,FALSE,,,,,,,
고블린 숲 입구,악몽,1126,778,1000,,96000,136000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1126,779,1002,,18150,18150,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1126,780,14,,89,186,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1126,781,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1126,782,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1127,783,1000,,96000,136000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1127,784,1002,,18150,18150,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1127,785,14,,89,186,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1127,786,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1127,787,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1127,788,517,,1,1,3000,TRUE,FALSE,,,,,,,
고블린 숲,악몽,1128,789,1000,,98000,138000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1128,790,1002,,18600,18600,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1128,791,14,,90,188,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1128,792,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1128,793,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1129,794,1000,,98000,138000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1129,795,1002,,18600,18600,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1129,796,14,,90,188,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1129,797,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1129,798,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1129,799,517,,1,1,3000,TRUE,FALSE,,,,,,,
바닷가,악몽,1130,800,1000,,100000,140000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1130,801,1002,,19050,19050,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1130,802,14,,91,190,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1130,803,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1130,804,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1131,805,1000,,100000,140000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1131,806,1002,,19050,19050,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1131,807,14,,91,190,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1131,808,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1131,809,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1131,810,517,,1,1,3000,TRUE,FALSE,,,,,,,
음산한 묘지,악몽,1132,811,1000,,102000,142000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1132,812,1002,,19500,19500,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1132,813,14,,92,192,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1132,814,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1132,815,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1133,816,1000,,102000,142000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1133,817,1002,,19500,19500,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1133,818,14,,92,192,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1133,819,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1133,820,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1133,821,517,,1,1,3000,TRUE,FALSE,,,,,,,
뒤틀린 차원,악몽,1134,822,1000,,104000,144000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1134,823,1002,,19950,19950,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1134,824,14,,93,194,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1134,825,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1134,826,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1135,827,1000,,104000,144000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1135,828,1002,,19950,19950,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1135,829,14,,93,194,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1135,830,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1135,831,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1135,832,517,,1,1,3000,TRUE,FALSE,,,,,,,
마족 집결지,악몽,1136,833,1000,,106000,146000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1136,834,1002,,20400,20400,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1136,835,14,,94,196,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1136,836,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1136,837,16,,3,4,20000,TRUE,FALSE,,,,,,,
보스,악몽,1137,838,1000,,106000,146000,1000000,TRUE,FALSE,,,,,,,
경험치,악몽,1137,839,1002,,20400,20400,1000000,TRUE,FALSE,,,,,,,
결정,악몽,1137,840,14,,94,196,400000,TRUE,FALSE,,,,,,,
장피 파편,악몽,1137,841,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,악몽,1137,842,16,,3,4,30000,TRUE,FALSE,,,,,,,
악몽의파편주머니ㅏ,악몽,1137,843,517,,1,1,3000,TRUE,FALSE,,,,,,,
던전-죽은용의 동굴,11,3012,844,1000,,42000,82000,1000000,TRUE,FALSE,,,,,,,
경험치,11,3012,845,1002,,6000,6000,1000000,TRUE,FALSE,,,,,,,
결정,11,3012,846,14,,62,132,400000,TRUE,FALSE,,,,,,,
장피 파편,11,3012,847,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,11,3012,848,16,,1,1,20000,TRUE,FALSE,,,,,,,
보스,11,3013,849,1000,,42000,82000,1000000,TRUE,FALSE,,,,,,,
경험치,11,3013,850,1002,,6000,6000,1000000,TRUE,FALSE,,,,,,,
결정,11,3013,851,14,,62,132,400000,TRUE,FALSE,,,,,,,
장피 파편,11,3013,852,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,11,3013,853,16,,1,1,50000,TRUE,FALSE,,,,,,,
보스 재료,11,3013,854,3007,보스재료,1,1,100000,TRUE,FALSE,,,,,,,
전설 비법서,11,3013,855,1005,비법서,1,3,100000,TRUE,FALSE,,,,,,,
신화 비법서,11,3013,856,1006,비법서,1,2,10000,TRUE,FALSE,,,,,,,
던전-제국,12,3014,857,1000,,52000,92000,1000000,TRUE,FALSE,,,,,,,
경험치,12,3014,858,1002,,8550,8550,1000000,TRUE,FALSE,,,,,,,
결정,12,3014,859,14,,67,142,400000,TRUE,FALSE,,,,,,,
장피 파편,12,3014,860,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,12,3014,861,16,,1,2,20000,TRUE,FALSE,,,,,,,
보스,12,3015,862,1000,,52000,92000,1000000,TRUE,FALSE,,,,,,,
경험치,12,3015,863,1002,,8550,8550,1000000,TRUE,FALSE,,,,,,,
결정,12,3015,864,14,,67,142,400000,TRUE,FALSE,,,,,,,
장피 파편,12,3015,865,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,12,3015,866,16,,1,2,50000,TRUE,FALSE,,,,,,,
보스 재료,12,3015,867,3008,보스재료,1,1,100000,TRUE,FALSE,,,,,,,
전설 비법서,12,3015,868,1005,비법서,1,3,100000,TRUE,FALSE,,,,,,,
신화 비법서,12,3015,869,1006,비법서,1,2,10000,TRUE,FALSE,,,,,,,
길드레이드 1단계,길드레이드,6000,870,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6000,871,1001,크리스탈,300,300,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6000,872,16,악몽 파편,50,50,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6000,873,1005,전설 제작 비법서,1,2,200000,TRUE,FALSE,,,,,,,
,길드레이드,6000,874,1006,신화 제작 비법서,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6000,875,517,악몽파편꾸러미,1,1,60000,TRUE,FALSE,,,,,,,
,길드레이드,6000,876,518,악몽 장신구 무작위 상자,1,1,30000,TRUE,FALSE,,,,,,,
,길드레이드,6000,877,57,낡은 특수효과,3,3,1000000,TRUE,FALSE,,,,,,,
길드레이드 2단계,길드레이드,6001,878,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6001,879,1001,크리스탈,400,400,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6001,880,16,악몽 파편,80,80,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6001,881,1005,전설 제작 비법서,1,2,230000,TRUE,FALSE,,,,,,,
,길드레이드,6001,882,1006,신화 제작 비법서,1,1,120000,TRUE,FALSE,,,,,,,
,길드레이드,6001,883,517,악몽파편꾸러미,1,1,70000,TRUE,FALSE,,,,,,,
,길드레이드,6001,884,518,악몽 장신구 무작위 상자,1,1,40000,TRUE,FALSE,,,,,,,
,길드레이드,6001,885,57,낡은 특수효과,4,4,1000000,TRUE,FALSE,,,,,,,
길드레이드 3단계,길드레이드,6002,886,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6002,887,1001,크리스탈,500,500,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6002,888,16,악몽 파편,110,110,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6002,889,1005,전설 제작 비법서,1,3,230000,TRUE,FALSE,,,,,,,
,길드레이드,6002,890,1006,신화 제작 비법서,1,1,120000,TRUE,FALSE,,,,,,,
,길드레이드,6002,891,517,악몽파편꾸러미,1,1,70000,TRUE,FALSE,,,,,,,
,길드레이드,6002,892,518,악몽 장신구 무작위 상자,1,1,40000,TRUE,FALSE,,,,,,,
,길드레이드,6002,893,519,악몽 장신구 선택 상자,1,1,20000,TRUE,FALSE,,,,,,,
,길드레이드,6002,894,57,낡은 특수효과,5,5,1000000,TRUE,FALSE,,,,,,,
길드레이드 4단계,길드레이드,6003,895,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6003,896,1001,크리스탈,600,600,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6003,897,16,악몽 파편,140,140,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6003,898,1005,전설 제작 비법서,1,3,260000,TRUE,FALSE,,,,,,,
,길드레이드,6003,899,1006,신화 제작 비법서,1,2,150000,TRUE,FALSE,,,,,,,
,길드레이드,6003,900,517,악몽파편꾸러미,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6003,901,518,악몽 장신구 무작위 상자,1,1,50000,TRUE,FALSE,,,,,,,
,길드레이드,6003,902,519,악몽 장신구 선택 상자,1,1,35000,TRUE,FALSE,,,,,,,
,길드레이드,6003,903,520,악몽 장신구★ 선택 상자,1,1,8000,TRUE,FALSE,,,,,,,
,길드레이드,6003,904,57,낡은 특수효과,6,6,1000000,TRUE,FALSE,,,,,,,
길드레이드 5단계,길드레이드,6004,905,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6004,906,1001,크리스탈,700,700,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6004,907,16,악몽 파편,140,140,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6004,908,1005,전설 제작 비법서,1,3,260000,TRUE,FALSE,,,,,,,
,길드레이드,6004,909,1006,신화 제작 비법서,1,2,150000,TRUE,FALSE,,,,,,,
,길드레이드,6004,910,517,악몽파편꾸러미,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6004,911,518,악몽 장신구 무작위 상자,1,1,50000,TRUE,FALSE,,,,,,,
,길드레이드,6004,912,519,악몽 장신구 선택 상자,1,1,35000,TRUE,FALSE,,,,,,,
,길드레이드,6004,913,520,악몽 장신구★ 선택 상자,1,1,8000,TRUE,FALSE,,,,,,,
,길드레이드,6004,914,57,낡은 특수효과,7,7,1000000,TRUE,FALSE,,,,,,,
길드레이드 6단계,길드레이드,6005,915,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6005,916,1001,크리스탈,800,800,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6005,917,16,악몽 파편,140,140,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6005,918,1005,전설 제작 비법서,1,3,260000,TRUE,FALSE,,,,,,,
,길드레이드,6005,919,1006,신화 제작 비법서,1,2,150000,TRUE,FALSE,,,,,,,
,길드레이드,6005,920,517,악몽파편꾸러미,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6005,921,518,악몽 장신구 무작위 상자,1,1,50000,TRUE,FALSE,,,,,,,
,길드레이드,6005,922,519,악몽 장신구 선택 상자,1,1,35000,TRUE,FALSE,,,,,,,
,길드레이드,6005,923,520,악몽 장신구★ 선택 상자,1,1,8000,TRUE,FALSE,,,,,,,
,길드레이드,6005,924,57,낡은 특수효과,8,8,1000000,TRUE,FALSE,,,,,,,
길드레이드 7단계,길드레이드,6006,925,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6006,926,1001,크리스탈,900,900,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6006,927,16,악몽 파편,140,140,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6006,928,1005,전설 제작 비법서,1,3,260000,TRUE,FALSE,,,,,,,
,길드레이드,6006,929,1006,신화 제작 비법서,1,2,150000,TRUE,FALSE,,,,,,,
,길드레이드,6006,930,517,악몽파편꾸러미,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6006,931,518,악몽 장신구 무작위 상자,1,1,50000,TRUE,FALSE,,,,,,,
,길드레이드,6006,932,519,악몽 장신구 선택 상자,1,1,35000,TRUE,FALSE,,,,,,,
,길드레이드,6006,933,520,악몽 장신구★ 선택 상자,1,1,8000,TRUE,FALSE,,,,,,,
,길드레이드,6006,934,57,낡은 특수효과,9,9,1000000,TRUE,FALSE,,,,,,,
길드레이드 8단계,길드레이드,6007,935,56,레이드 토큰,200,200,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6007,936,1001,크리스탈,1000,1000,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6007,937,16,악몽 파편,140,140,1000000,TRUE,FALSE,,,,,,,
,길드레이드,6007,938,1005,전설 제작 비법서,1,3,260000,TRUE,FALSE,,,,,,,
,길드레이드,6007,939,1006,신화 제작 비법서,1,2,150000,TRUE,FALSE,,,,,,,
,길드레이드,6007,940,517,악몽파편꾸러미,1,1,100000,TRUE,FALSE,,,,,,,
,길드레이드,6007,941,518,악몽 장신구 무작위 상자,1,1,50000,TRUE,FALSE,,,,,,,
,길드레이드,6007,942,519,악몽 장신구 선택 상자,1,1,35000,TRUE,FALSE,,,,,,,
,길드레이드,6007,943,520,악몽 장신구★ 선택 상자,1,1,8000,TRUE,FALSE,,,,,,,
,길드레이드,6007,944,57,낡은 특수효과,10,10,1000000,TRUE,FALSE,,,,,,,
던전-마력의 땅 - 티아,13,3016,945,1000,,64000,104000,1000000,TRUE,FALSE,,,,,,,
경험치,13,3016,946,1002,,10500,10500,1000000,TRUE,FALSE,,,,,,,
결정,13,3016,947,14,,73,154,400000,TRUE,FALSE,,,,,,,
장피 파편,13,3016,948,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,13,3016,949,16,,1,2,20000,TRUE,FALSE,,,,,,,
보스,13,3017,950,1000,,64000,104000,1000000,TRUE,FALSE,,,,,,,
경험치,13,3017,951,1002,,10500,10500,1000000,TRUE,FALSE,,,,,,,
결정,13,3017,952,14,,73,154,400000,TRUE,FALSE,,,,,,,
장피 파편,13,3017,953,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,13,3017,954,16,,1,2,50000,TRUE,FALSE,,,,,,,
보스 재료,13,3017,955,3009,보스재료,1,1,100000,TRUE,FALSE,,,,,,,
전설 비법서,13,3017,956,1005,비법서,1,3,100000,TRUE,FALSE,,,,,,,
신화 비법서,13,3017,957,1006,비법서,1,2,10000,TRUE,FALSE,,,,,,,
던전-노스 테라,14,3018,958,1000,,78000,118000,1000000,TRUE,FALSE,,,,,,,
경험치,14,3018,959,1002,,12300,12300,1000000,TRUE,FALSE,,,,,,,
결정,14,3018,960,14,,80,168,400000,TRUE,FALSE,,,,,,,
장피 파편,14,3018,961,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,14,3018,962,16,,1,2,20000,TRUE,FALSE,,,,,,,
보스,14,3019,963,1000,,78000,118000,1000000,TRUE,FALSE,,,,,,,
경험치,14,3019,964,1002,,12300,12300,1000000,TRUE,FALSE,,,,,,,
결정,14,3019,965,14,,80,168,400000,TRUE,FALSE,,,,,,,
장피 파편,14,3019,966,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,14,3019,967,16,,1,2,50000,TRUE,FALSE,,,,,,,
보스 재료,14,3019,968,3010,보스재료,1,1,100000,TRUE,FALSE,,,,,,,
전설 비법서,14,3019,969,1005,비법서,1,4,100000,TRUE,FALSE,,,,,,,
신화 비법서,14,3019,970,1006,비법서,1,2,10000,TRUE,FALSE,,,,,,,
던전-잊혀진 공허,15,3020,971,1000,,96000,136000,1000000,TRUE,FALSE,,,,,,,
경험치,15,3020,972,1002,,14550,14550,1000000,TRUE,FALSE,,,,,,,
결정,15,3020,973,14,,89,186,400000,TRUE,FALSE,,,,,,,
장피 파편,15,3020,974,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,15,3020,975,16,,1,2,20000,TRUE,FALSE,,,,,,,
보스,15,3021,976,1000,,96000,136000,1000000,TRUE,FALSE,,,,,,,
경험치,15,3021,977,1002,,14550,14550,1000000,TRUE,FALSE,,,,,,,
결정,15,3021,978,14,,89,186,400000,TRUE,FALSE,,,,,,,
장피 파편,15,3021,979,1700,,55,55,200000,TRUE,FALSE,,,,,,,
악몽의파편,15,3021,980,16,,1,2,50000,TRUE,FALSE,,,,,,,
보스 재료,15,3021,981,3011,보스재료,1,1,100000,TRUE,FALSE,,,,,,,
전설 비법서,15,3021,982,1005,비법서,1,5,100000,TRUE,FALSE,,,,,,,
신화 비법서,15,3021,983,1006,비법서,1,2,10000,TRUE,FALSE,,,,,,,
레이드홀리 티탄,악몽레이드,5008,984,20,레이드 토큰,850,850,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5008,985,2908,토벌 증표,9,9,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5008,986,1005,전설 제작 비법서,1,2,350000,TRUE,FALSE,,,,,,,
,악몽레이드,5008,987,1006,신화 제작 비법서,1,1,128000,TRUE,FALSE,,,,,,,
,악몽레이드,5008,988,1010,비법서 조각,100,100,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5008,989,99000,제련석,60,60,1000000,TRUE,FALSE,,,,,,,
레이드 홀리 그리폰,악몽레이드,5009,990,20,레이드 토큰,900,900,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5009,991,2908,토벌 증표,10,10,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5009,992,1005,전설 제작 비법서,1,2,350000,TRUE,FALSE,,,,,,,
,악몽레이드,5009,993,1006,신화 제작 비법서,1,1,128000,TRUE,FALSE,,,,,,,
,악몽레이드,5009,994,1010,비법서 조각,110,110,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5009,995,99000,제련석,65,65,1000000,TRUE,FALSE,,,,,,,
레이드 홀리 아피스,악몽레이드,5010,996,20,레이드 토큰,950,950,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5010,997,2908,토벌 증표,11,11,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5010,998,1005,전설 제작 비법서,1,2,350000,TRUE,FALSE,,,,,,,
,악몽레이드,5010,999,1006,신화 제작 비법서,1,1,128000,TRUE,FALSE,,,,,,,
,악몽레이드,5010,1000,1010,비법서 조각,120,120,1000000,TRUE,FALSE,,,,,,,
,악몽레이드,5010,1001,99000,제련석,70,70,1000000,TRUE,FALSE,,,,,,,
